Scalability Evaluation - Context sweep capability with 20 context set
Experiment executed on Wed Jan 21 16:00:32 BRST 2015
"Executing model 1 with 4100 nodes... Full sweep: 100.0%"
"Executing model 2 with 4100 nodes... Partial sweep: 11.893063142796107%"
"Executing model 3 with 4100 nodes... Partial sweep: 7.38853114413892%"
"Executing model 4 with 4100 nodes... Partial sweep: 38.80733664967803%"
"Executing model 5 with 4100 nodes... Partial sweep: 13.177892391735588%"
"Executing model 6 with 4100 nodes... Partial sweep: 40.809350871303444%"
"Executing model 7 with 4100 nodes... Partial sweep: 68.5872981963561%"
"Executing model 8 with 4100 nodes... Partial sweep: 15.53392132328257%"
"Executing model 9 with 4100 nodes... Full sweep: 100.0%"
 4100 15 14085.0 42.985320596942046
"Executing model 0 with 4200 nodes... Partial sweep: 7.38853114413892%"
"Executing model 1 with 4200 nodes... Partial sweep: 6.95822016052736%"
"Executing model 2 with 4200 nodes... Full sweep: 100.0%"
"Executing model 3 with 4200 nodes... Full sweep: 100.0%"
"Executing model 4 with 4200 nodes... Full sweep: 100.0%"
"Executing model 5 with 4200 nodes... Full sweep: 100.0%"
"Executing model 6 with 4200 nodes... Partial sweep: 20.285653248695333%"
"Executing model 7 with 4200 nodes... Partial sweep: 8.209479049043244%"
"Executing model 8 with 4200 nodes... Partial sweep: 97.63481551561021%"
"Executing model 9 with 4200 nodes... Full sweep: 100.0%"
 4200 15 20986.0 64.0461439863277
"Executing model 0 with 4300 nodes... Partial sweep: 9.311197241126743%"
"Executing model 1 with 4300 nodes... Partial sweep: 71.01351969969787%"
"Executing model 2 with 4300 nodes... Partial sweep: 7.538071840571306%"
"Executing model 3 with 4300 nodes... Full sweep: 100.0%"
"Executing model 4 with 4300 nodes... Partial sweep: 8.886989959410382%"
"Executing model 5 with 4300 nodes... Full sweep: 100.0%"
"Executing model 6 with 4300 nodes... Partial sweep: 6.015198217719046%"
"Executing model 7 with 4300 nodes... Partial sweep: 18.027283547471544%"
"Executing model 8 with 4300 nodes... Full sweep: 100.0%"
"Executing model 9 with 4300 nodes... Partial sweep: 10.98666341135899%"
 4300 15 14148.0 43.17758720664083
"Executing model 0 with 4400 nodes... Partial sweep: 11.032441175572986%"
"Executing model 1 with 4400 nodes... Partial sweep: 91.86071352275155%"
"Executing model 2 with 4400 nodes... Partial sweep: 93.4995574816126%"
"Executing model 3 with 4400 nodes... Partial sweep: 34.36384166997284%"
"Executing model 4 with 4400 nodes... Partial sweep: 7.3976866969817205%"
"Executing model 5 with 4400 nodes... Partial sweep: 5.996887112033448%"
"Executing model 6 with 4400 nodes... Partial sweep: 16.2877285073397%"
"Executing model 7 with 4400 nodes... Full sweep: 100.0%"
"Executing model 8 with 4400 nodes... Full sweep: 100.0%"
"Executing model 9 with 4400 nodes... Partial sweep: 63.54258857997376%"
 4400 15 17169.0 52.397228919339575
"Executing model 0 with 4500 nodes... Full sweep: 100.0%"
"Executing model 1 with 4500 nodes... Partial sweep: 99.93591113010041%"
"Executing model 2 with 4500 nodes... Partial sweep: 79.3969542527543%"
"Executing model 3 with 4500 nodes... Partial sweep: 21.43620105594043%"
"Executing model 4 with 4500 nodes... Partial sweep: 12.433240760521256%"
"Executing model 5 with 4500 nodes... Full sweep: 100.0%"
"Executing model 6 with 4500 nodes... Full sweep: 100.0%"
"Executing model 7 with 4500 nodes... Full sweep: 100.0%"
"Executing model 8 with 4500 nodes... Partial sweep: 6.823938718832973%"
"Executing model 9 with 4500 nodes... Partial sweep: 11.008026367992187%"
 4500 15 20677.0 63.1031220435194
"Executing model 0 with 4600 nodes... Partial sweep: 9.854426709799494%"
"Executing model 1 with 4600 nodes... Full sweep: 100.0%"
"Executing model 2 with 4600 nodes... Partial sweep: 13.141270180364392%"
"Executing model 3 with 4600 nodes... Partial sweep: 8.386486404004028%"
"Executing model 4 with 4600 nodes... Partial sweep: 8.633686330759605%"
"Executing model 5 with 4600 nodes... Partial sweep: 6.381420331431014%"
"Executing model 6 with 4600 nodes... Full sweep: 100.0%"
"Executing model 7 with 4600 nodes... Partial sweep: 6.591998046815394%"
"Executing model 8 with 4600 nodes... Partial sweep: 8.877834406567583%"
"Executing model 9 with 4600 nodes... Partial sweep: 11.19113742484817%"
 4600 15 8947.0 27.30491042817469
"Executing model 0 with 4700 nodes... Full sweep: 100.0%"
"Executing model 1 with 4700 nodes... Partial sweep: 35.63035981322672%"
"Executing model 2 with 4700 nodes... Partial sweep: 6.372264778588215%"
"Executing model 3 with 4700 nodes... Full sweep: 100.0%"
"Executing model 4 with 4700 nodes... Partial sweep: 44.26099429303873%"
"Executing model 5 with 4700 nodes... Full sweep: 100.0%"
"Executing model 6 with 4700 nodes... Partial sweep: 88.80581072420422%"
"Executing model 7 with 4700 nodes... Full sweep: 100.0%"
"Executing model 8 with 4700 nodes... Full sweep: 100.0%"
"Executing model 9 with 4700 nodes... Partial sweep: 16.09851374858852%"
 4700 15 22647.0 69.11526841029084
"Executing model 0 with 4800 nodes... Partial sweep: 5.389568773461105%"
"Executing model 1 with 4800 nodes... Partial sweep: 27.84203619495224%"
"Executing model 2 with 4800 nodes... Partial sweep: 18.323313089388716%"
"Executing model 3 with 4800 nodes... Full sweep: 100.0%"
"Executing model 4 with 4800 nodes... Partial sweep: 98.33063753166296%"
"Executing model 5 with 4800 nodes... Partial sweep: 41.315958128605004%"
"Executing model 6 with 4800 nodes... Partial sweep: 90.71932126834925%"
"Executing model 7 with 4800 nodes... Partial sweep: 18.4820093386639%"
"Executing model 8 with 4800 nodes... Full sweep: 100.0%"
"Executing model 9 with 4800 nodes... Partial sweep: 90.95736564226203%"
 4800 15 19377.0 59.135715811639756
"Executing model 0 with 4900 nodes... Partial sweep: 54.13373210852382%"
"Executing model 1 with 4900 nodes... Partial sweep: 95.86474196600237%"
"Executing model 2 with 4900 nodes... Full sweep: 100.0%"
"Executing model 3 with 4900 nodes... Partial sweep: 6.646931363872188%"
"Executing model 4 with 4900 nodes... Partial sweep: 6.8666646320993685%"
"Executing model 5 with 4900 nodes... Partial sweep: 93.74980925931578%"
"Executing model 6 with 4900 nodes... Full sweep: 100.0%"
"Executing model 7 with 4900 nodes... Full sweep: 100.0%"
"Executing model 8 with 4900 nodes... Partial sweep: 28.2876064333018%"
"Executing model 9 with 4900 nodes... Full sweep: 100.0%"
 4900 15 22463.0 68.55372783593249
"Executing model 0 with 5000 nodes... Partial sweep: 6.097598193304239%"
"Executing model 1 with 5000 nodes... Partial sweep: 97.36625263222145%"
"Executing model 2 with 5000 nodes... Full sweep: 100.0%"
"Executing model 3 with 5000 nodes... Partial sweep: 24.11572618793298%"
"Executing model 4 with 5000 nodes... Partial sweep: 85.64104129154332%"
"Executing model 5 with 5000 nodes... Full sweep: 100.0%"
"Executing model 6 with 5000 nodes... Partial sweep: 93.5239722891934%"
"Executing model 7 with 5000 nodes... Partial sweep: 47.849971007415995%"
"Executing model 8 with 5000 nodes... Full sweep: 100.0%"
"Executing model 9 with 5000 nodes... Partial sweep: 23.447370830408644%"
 5000 15 22217.0 67.80297250282297
"Executing model 0 with 5100 nodes... Partial sweep: 8.316293832209235%"
"Executing model 1 with 5100 nodes... Full sweep: 100.0%"
"Executing model 2 with 5100 nodes... Full sweep: 100.0%"
"Executing model 3 with 5100 nodes... Partial sweep: 4.849391155735954%"
"Executing model 4 with 5100 nodes... Partial sweep: 99.15768913846247%"
"Executing model 5 with 5100 nodes... Partial sweep: 5.64287240211188%"
"Executing model 6 with 5100 nodes... Partial sweep: 9.527878658406323%"
"Executing model 7 with 5100 nodes... Partial sweep: 33.24991607409894%"
"Executing model 8 with 5100 nodes... Partial sweep: 96.07837153233436%"
"Executing model 9 with 5100 nodes... Partial sweep: 53.801080355235456%"
 5100 15 16731.0 51.06051820429091
"Executing model 0 with 5200 nodes... Partial sweep: 80.489516891995%"
"Executing model 1 with 5200 nodes... Partial sweep: 7.7303384502700885%"
"Executing model 2 with 5200 nodes... Partial sweep: 28.525650807214575%"
"Executing model 3 with 5200 nodes... Full sweep: 100.0%"
"Executing model 4 with 5200 nodes... Partial sweep: 74.15387432477797%"
"Executing model 5 with 5200 nodes... Partial sweep: 5.819879757072664%"
"Executing model 6 with 5200 nodes... Full sweep: 100.0%"
"Executing model 7 with 5200 nodes... Full sweep: 100.0%"
"Executing model 8 with 5200 nodes... Partial sweep: 99.12717062898648%"
"Executing model 9 with 5200 nodes... Partial sweep: 66.3533433027131%"
 5200 15 21698.0 66.21906186101872
"Executing model 0 with 5300 nodes... Partial sweep: 80.35828730124821%"
"Executing model 1 with 5300 nodes... Full sweep: 100.0%"
"Executing model 2 with 5300 nodes... Partial sweep: 68.71547593615529%"
"Executing model 3 with 5300 nodes... Partial sweep: 5.481124301889096%"
"Executing model 4 with 5300 nodes... Partial sweep: 28.80031739249855%"
"Executing model 5 with 5300 nodes... Full sweep: 100.0%"
"Executing model 6 with 5300 nodes... Partial sweep: 81.94830164494766%"
"Executing model 7 with 5300 nodes... Partial sweep: 25.943784905545215%"
"Executing model 8 with 5300 nodes... Partial sweep: 5.566576128421888%"
"Executing model 9 with 5300 nodes... Partial sweep: 18.237861262855922%"
 5300 15 16876.0 51.50303659169286
"Executing model 0 with 5400 nodes... Partial sweep: 8.929715872676779%"
"Executing model 1 with 5400 nodes... Partial sweep: 59.056367687002165%"
"Executing model 2 with 5400 nodes... Full sweep: 100.0%"
"Executing model 3 with 5400 nodes... Full sweep: 100.0%"
"Executing model 4 with 5400 nodes... Full sweep: 100.0%"
"Executing model 5 with 5400 nodes... Partial sweep: 90.1486251411481%"
"Executing model 6 with 5400 nodes... Full sweep: 100.0%"
"Executing model 7 with 5400 nodes... Partial sweep: 9.726248970000304%"
"Executing model 8 with 5400 nodes... Partial sweep: 6.0121463667714465%"
"Executing model 9 with 5400 nodes... Partial sweep: 94.86678670613728%"
 5400 15 21912.0 66.87215796380505
"Executing model 0 with 5500 nodes... Partial sweep: 5.767998290963469%"
"Executing model 1 with 5500 nodes... Partial sweep: 4.049806207464828%"
"Executing model 2 with 5500 nodes... Partial sweep: 39.86022522659993%"
"Executing model 3 with 5500 nodes... Partial sweep: 8.130130924405652%"
"Executing model 4 with 5500 nodes... Full sweep: 100.0%"
"Executing model 5 with 5500 nodes... Partial sweep: 73.9127780999176%"
"Executing model 6 with 5500 nodes... Partial sweep: 70.5587939085055%"
"Executing model 7 with 5500 nodes... Full sweep: 100.0%"
"Executing model 8 with 5500 nodes... Partial sweep: 7.28476821192053%"
"Executing model 9 with 5500 nodes... Partial sweep: 15.594958342234566%"
 5500 15 13931.0 42.51533555101169
"Executing model 0 with 5600 nodes... Partial sweep: 28.05261391033662%"
"Executing model 1 with 5600 nodes... Full sweep: 100.0%"
"Executing model 2 with 5600 nodes... Full sweep: 100.0%"
"Executing model 3 with 5600 nodes... Partial sweep: 9.12198248237556%"
"Executing model 4 with 5600 nodes... Partial sweep: 6.231879634998626%"
"Executing model 5 with 5600 nodes... Partial sweep: 8.505508590960417%"
"Executing model 6 with 5600 nodes... Full sweep: 100.0%"
"Executing model 7 with 5600 nodes... Partial sweep: 21.41178624835963%"
"Executing model 8 with 5600 nodes... Partial sweep: 6.027405621509446%"
"Executing model 9 with 5600 nodes... Partial sweep: 60.83864864040041%"
 5600 15 14423.0 44.01684621723075
"Executing model 0 with 5700 nodes... Full sweep: 100.0%"
"Executing model 1 with 5700 nodes... Partial sweep: 82.11310159611804%"
"Executing model 2 with 5700 nodes... Partial sweep: 17.27042451246681%"
"Executing model 3 with 5700 nodes... Full sweep: 100.0%"
"Executing model 4 with 5700 nodes... Full sweep: 100.0%"
"Executing model 5 with 5700 nodes... Partial sweep: 4.477065340128788%"
"Executing model 6 with 5700 nodes... Partial sweep: 22.656941434980315%"
"Executing model 7 with 5700 nodes... Partial sweep: 55.25070955534531%"
"Executing model 8 with 5700 nodes... Partial sweep: 8.532975249488816%"
"Executing model 9 with 5700 nodes... Partial sweep: 14.957121494186223%"
 5700 15 16555.0 50.52339243751335
"Executing model 0 with 5800 nodes... Full sweep: 100.0%"
"Executing model 1 with 5800 nodes... Partial sweep: 56.047242652668835%"
"Executing model 2 with 5800 nodes... Partial sweep: 10.150456251716665%"
"Executing model 3 with 5800 nodes... Full sweep: 100.0%"
"Executing model 4 with 5800 nodes... Partial sweep: 20.499282815027314%"
"Executing model 5 with 5800 nodes... Partial sweep: 89.21781060213019%"
"Executing model 6 with 5800 nodes... Partial sweep: 6.018250068666647%"
"Executing model 7 with 5800 nodes... Full sweep: 100.0%"
"Executing model 8 with 5800 nodes... Partial sweep: 51.936399426252024%"
"Executing model 9 with 5800 nodes... Partial sweep: 27.780999176000243%"
 5800 15 18403.0 56.163212988677635
"Executing model 0 with 5900 nodes... Full sweep: 100.0%"
"Executing model 1 with 5900 nodes... Partial sweep: 81.17923520615253%"
"Executing model 2 with 5900 nodes... Partial sweep: 8.856471449934384%"
"Executing model 3 with 5900 nodes... Full sweep: 100.0%"
"Executing model 4 with 5900 nodes... Partial sweep: 21.680349131748404%"
"Executing model 5 with 5900 nodes... Full sweep: 100.0%"
"Executing model 6 with 5900 nodes... Full sweep: 100.0%"
"Executing model 7 with 5900 nodes... Full sweep: 100.0%"
"Executing model 8 with 5900 nodes... Partial sweep: 5.948057496871853%"
"Executing model 9 with 5900 nodes... Partial sweep: 84.24024170659506%"
 5900 15 22999.0 70.18951994384595
"Executing model 0 with 6000 nodes... Partial sweep: 73.894466994232%"
"Executing model 1 with 6000 nodes... Partial sweep: 15.305032502212592%"
"Executing model 2 with 6000 nodes... Partial sweep: 10.269478438673055%"
"Executing model 3 with 6000 nodes... Partial sweep: 7.571642200994903%"
"Executing model 4 with 6000 nodes... Partial sweep: 4.638813440351573%"
"Executing model 5 with 6000 nodes... Partial sweep: 5.355998413037507%"
"Executing model 6 with 6000 nodes... Partial sweep: 29.584643086031676%"
"Executing model 7 with 6000 nodes... Partial sweep: 53.64543595690786%"
"Executing model 8 with 6000 nodes... Full sweep: 100.0%"
"Executing model 9 with 6000 nodes... Partial sweep: 5.905331583605457%"
 6000 15 10032.0 30.616168706320384
"Executing model 0 with 6100 nodes... Partial sweep: 52.1134067812128%"
"Executing model 1 with 6100 nodes... Full sweep: 100.0%"
"Executing model 2 with 6100 nodes... Full sweep: 100.0%"
"Executing model 3 with 6100 nodes... Partial sweep: 55.58946501052888%"
"Executing model 4 with 6100 nodes... Partial sweep: 23.41380046998505%"
"Executing model 5 with 6100 nodes... Partial sweep: 6.09149449140904%"
"Executing model 6 with 6100 nodes... Full sweep: 100.0%"
"Executing model 7 with 6100 nodes... Full sweep: 100.0%"
"Executing model 8 with 6100 nodes... Partial sweep: 10.235908078249459%"
"Executing model 9 with 6100 nodes... Full sweep: 100.0%"
 6100 15 21214.0 64.74196600238045
"Executing model 0 with 6200 nodes... Full sweep: 100.0%"
"Executing model 1 with 6200 nodes... Partial sweep: 16.348765526291693%"
"Executing model 2 with 6200 nodes... Partial sweep: 24.57350383007294%"
"Executing model 3 with 6200 nodes... Partial sweep: 72.44483779412214%"
"Executing model 4 with 6200 nodes... Partial sweep: 89.83428449354534%"
"Executing model 5 with 6200 nodes... Partial sweep: 14.944914090395825%"
"Executing model 6 with 6200 nodes... Full sweep: 100.0%"
"Executing model 7 with 6200 nodes... Partial sweep: 79.63499862666707%"
"Executing model 8 with 6200 nodes... Partial sweep: 8.572649311807613%"
"Executing model 9 with 6200 nodes... Partial sweep: 20.065919980468152%"
 6200 15 17249.0 52.64137699514756
"Executing model 0 with 6300 nodes... Full sweep: 100.0%"
"Executing model 1 with 6300 nodes... Partial sweep: 37.37907040620136%"
"Executing model 2 with 6300 nodes... Full sweep: 100.0%"
"Executing model 3 with 6300 nodes... Full sweep: 100.0%"
"Executing model 4 with 6300 nodes... Partial sweep: 84.42030091250344%"
"Executing model 5 with 6300 nodes... Partial sweep: 5.6337168492690815%"
"Executing model 6 with 6300 nodes... Full sweep: 100.0%"
"Executing model 7 with 6300 nodes... Partial sweep: 24.106570635090183%"
"Executing model 8 with 6300 nodes... Partial sweep: 65.1997436445204%"
"Executing model 9 with 6300 nodes... Partial sweep: 35.041352580339975%"
 6300 15 21356.0 65.1753288369396
"Executing model 0 with 6400 nodes... Partial sweep: 8.542130802331615%"
"Executing model 1 with 6400 nodes... Full sweep: 100.0%"
"Executing model 2 with 6400 nodes... Partial sweep: 5.929746391186255%"
"Executing model 3 with 6400 nodes... Partial sweep: 99.11496322519608%"
"Executing model 4 with 6400 nodes... Partial sweep: 8.825952940458388%"
"Executing model 5 with 6400 nodes... Full sweep: 100.0%"
"Executing model 6 with 6400 nodes... Partial sweep: 24.414807580797753%"
"Executing model 7 with 6400 nodes... Full sweep: 100.0%"
"Executing model 8 with 6400 nodes... Partial sweep: 74.00433362834559%"
"Executing model 9 with 6400 nodes... Partial sweep: 9.7750785851619%"
 6400 15 17386.0 53.05948057496872
"Executing model 0 with 6500 nodes... Partial sweep: 75.75304422132024%"
"Executing model 1 with 6500 nodes... Partial sweep: 9.836115604113894%"
"Executing model 2 with 6500 nodes... Partial sweep: 80.89846491897336%"
"Executing model 3 with 6500 nodes... Full sweep: 100.0%"
"Executing model 4 with 6500 nodes... Partial sweep: 4.5197912533951845%"
"Executing model 5 with 6500 nodes... Partial sweep: 88.39381084627827%"
"Executing model 6 with 6500 nodes... Full sweep: 100.0%"
"Executing model 7 with 6500 nodes... Full sweep: 100.0%"
"Executing model 8 with 6500 nodes... Partial sweep: 4.67238380077517%"
"Executing model 9 with 6500 nodes... Partial sweep: 53.2090212714011%"
 6500 15 20226.0 61.72673726615192
"Executing model 0 with 6600 nodes... Partial sweep: 18.979461043122654%"
"Executing model 1 with 6600 nodes... Partial sweep: 6.1403241065706355%"
"Executing model 2 with 6600 nodes... Full sweep: 100.0%"
"Executing model 3 with 6600 nodes... Full sweep: 100.0%"
"Executing model 4 with 6600 nodes... Partial sweep: 5.169835505233925%"
"Executing model 5 with 6600 nodes... Full sweep: 100.0%"
"Executing model 6 with 6600 nodes... Full sweep: 100.0%"
"Executing model 7 with 6600 nodes... Partial sweep: 76.60145878475295%"
"Executing model 8 with 6600 nodes... Full sweep: 100.0%"
"Executing model 9 with 6600 nodes... Partial sweep: 18.106631672109135%"
 6600 15 20479.0 62.49885555589465
"Executing model 0 with 6700 nodes... Partial sweep: 74.59639271217993%"
"Executing model 1 with 6700 nodes... Partial sweep: 12.302011169774469%"
"Executing model 2 with 6700 nodes... Full sweep: 100.0%"
"Executing model 3 with 6700 nodes... Partial sweep: 4.962309640797144%"
"Executing model 4 with 6700 nodes... Partial sweep: 4.571672719504379%"
"Executing model 5 with 6700 nodes... Partial sweep: 6.286812952055422%"
"Executing model 6 with 6700 nodes... Partial sweep: 17.50541703543199%"
"Executing model 7 with 6700 nodes... Partial sweep: 68.06237983336894%"
"Executing model 8 with 6700 nodes... Full sweep: 100.0%"
"Executing model 9 with 6700 nodes... Partial sweep: 4.559465315713981%"
 6700 15 12872.0 39.283425397503585
"Executing model 0 with 6800 nodes... Partial sweep: 7.736442152165288%"
"Executing model 1 with 6800 nodes... Partial sweep: 15.713980529190955%"
"Executing model 2 with 6800 nodes... Full sweep: 100.0%"
"Executing model 3 with 6800 nodes... Full sweep: 100.0%"
"Executing model 4 with 6800 nodes... Partial sweep: 8.514664143803216%"
"Executing model 5 with 6800 nodes... Partial sweep: 6.146427808465835%"
"Executing model 6 with 6800 nodes... Partial sweep: 5.603198339793085%"
"Executing model 7 with 6800 nodes... Partial sweep: 83.53221228675191%"
"Executing model 8 with 6800 nodes... Partial sweep: 18.24396496475112%"
"Executing model 9 with 6800 nodes... Partial sweep: 5.2613910336619165%"
 6800 15 11493.0 35.07492294076358
"Executing model 0 with 6900 nodes... Partial sweep: 90.89938047425764%"
"Executing model 1 with 6900 nodes... Partial sweep: 4.147465437788019%"
"Executing model 2 with 6900 nodes... Partial sweep: 10.144352549821466%"
"Executing model 3 with 6900 nodes... Partial sweep: 80.19653920102542%"
"Executing model 4 with 6900 nodes... Partial sweep: 5.618457594531083%"
"Executing model 5 with 6900 nodes... Partial sweep: 42.94869838557085%"
"Executing model 6 with 6900 nodes... Full sweep: 100.0%"
"Executing model 7 with 6900 nodes... Full sweep: 100.0%"
"Executing model 8 with 6900 nodes... Partial sweep: 6.030457472457045%"
"Executing model 9 with 6900 nodes... Partial sweep: 89.51994384594256%"
 6900 15 17350.0 52.94961394085513
"Executing model 0 with 7000 nodes... Partial sweep: 35.33127842036195%"
"Executing model 1 with 7000 nodes... Partial sweep: 4.968413342692343%"
"Executing model 2 with 7000 nodes... Full sweep: 100.0%"
"Executing model 3 with 7000 nodes... Partial sweep: 24.23780022583697%"
"Executing model 4 with 7000 nodes... Full sweep: 100.0%"
"Executing model 5 with 7000 nodes... Partial sweep: 5.298013245033113%"
"Executing model 6 with 7000 nodes... Partial sweep: 11.508529923398541%"
"Executing model 7 with 7000 nodes... Full sweep: 100.0%"
"Executing model 8 with 7000 nodes... Partial sweep: 3.4546952726828826%"
"Executing model 9 with 7000 nodes... Partial sweep: 8.25830866420484%"
 7000 15 12879.0 39.30478835413678
"Executing model 0 with 7100 nodes... Partial sweep: 75.0022888882107%"
"Executing model 1 with 7100 nodes... Partial sweep: 4.531998657185583%"
"Executing model 2 with 7100 nodes... Partial sweep: 25.919370097964418%"
"Executing model 3 with 7100 nodes... Full sweep: 100.0%"
"Executing model 4 with 7100 nodes... Partial sweep: 53.3433027130955%"
"Executing model 5 with 7100 nodes... Partial sweep: 4.507583849604786%"
"Executing model 6 with 7100 nodes... Partial sweep: 6.054872280037843%"
"Executing model 7 with 7100 nodes... Partial sweep: 6.756797997985778%"
"Executing model 8 with 7100 nodes... Full sweep: 100.0%"
"Executing model 9 with 7100 nodes... Partial sweep: 6.042664876247445%"
 7100 15 12522.0 38.215277565843685
"Executing model 0 with 7200 nodes... Partial sweep: 5.951109347819453%"
"Executing model 1 with 7200 nodes... Partial sweep: 71.61778618732261%"
"Executing model 2 with 7200 nodes... Partial sweep: 67.90673543504136%"
"Executing model 3 with 7200 nodes... Full sweep: 100.0%"
"Executing model 4 with 7200 nodes... Partial sweep: 5.941953794976653%"
"Executing model 5 with 7200 nodes... Partial sweep: 10.049745170445876%"
"Executing model 6 with 7200 nodes... Full sweep: 100.0%"
"Executing model 7 with 7200 nodes... Partial sweep: 82.98898281807917%"
"Executing model 8 with 7200 nodes... Full sweep: 100.0%"
"Executing model 9 with 7200 nodes... Partial sweep: 85.05813776055177%"
 7200 15 20627.0 62.95052949613941
"Executing model 0 with 7300 nodes... Partial sweep: 53.63322855311746%"
"Executing model 1 with 7300 nodes... Partial sweep: 9.762871181371501%"
"Executing model 2 with 7300 nodes... Partial sweep: 5.075228125858333%"
"Executing model 3 with 7300 nodes... Full sweep: 100.0%"
"Executing model 4 with 7300 nodes... Full sweep: 100.0%"
"Executing model 5 with 7300 nodes... Partial sweep: 37.903988769188516%"
"Executing model 6 with 7300 nodes... Partial sweep: 5.355998413037507%"
"Executing model 7 with 7300 nodes... Partial sweep: 13.849299600207527%"
"Executing model 8 with 7300 nodes... Full sweep: 100.0%"
"Executing model 9 with 7300 nodes... Full sweep: 100.0%"
 7300 15 17221.0 52.55592516861477
"Executing model 0 with 7400 nodes... Partial sweep: 17.105624561296427%"
"Executing model 1 with 7400 nodes... Partial sweep: 8.578753013702812%"
"Executing model 2 with 7400 nodes... Partial sweep: 69.45707571642201%"
"Executing model 3 with 7400 nodes... Full sweep: 100.0%"
"Executing model 4 with 7400 nodes... Partial sweep: 4.089480269783624%"
"Executing model 5 with 7400 nodes... Partial sweep: 4.715109714041566%"
"Executing model 6 with 7400 nodes... Partial sweep: 3.888058107242042%"
"Executing model 7 with 7400 nodes... Partial sweep: 14.600054933317058%"
"Executing model 8 with 7400 nodes... Partial sweep: 4.931791131321146%"
"Executing model 9 with 7400 nodes... Partial sweep: 23.39243751335185%"
 7400 15 8216.0 25.07400738547929
"Executing model 0 with 7500 nodes... Partial sweep: 27.210303048799094%"
"Executing model 1 with 7500 nodes... Full sweep: 100.0%"
"Executing model 2 with 7500 nodes... Partial sweep: 75.59434797204506%"
"Executing model 3 with 7500 nodes... Full sweep: 100.0%"
"Executing model 4 with 7500 nodes... Partial sweep: 26.276436658833585%"
"Executing model 5 with 7500 nodes... Partial sweep: 15.088351084933013%"
"Executing model 6 with 7500 nodes... Partial sweep: 14.581743827631458%"
"Executing model 7 with 7500 nodes... Partial sweep: 13.882869960631123%"
"Executing model 8 with 7500 nodes... Partial sweep: 74.73982970671712%"
"Executing model 9 with 7500 nodes... Partial sweep: 33.80230109561449%"
 7500 15 15766.0 48.11548203985717
"Executing model 0 with 7600 nodes... Full sweep: 100.0%"
"Executing model 1 with 7600 nodes... Partial sweep: 21.62541581469161%"
"Executing model 2 with 7600 nodes... Partial sweep: 18.40876491592151%"
"Executing model 3 with 7600 nodes... Partial sweep: 4.660176396984771%"
"Executing model 4 with 7600 nodes... Partial sweep: 20.31311990722373%"
"Executing model 5 with 7600 nodes... Partial sweep: 96.8199713126011%"
"Executing model 6 with 7600 nodes... Partial sweep: 14.597003082369456%"
"Executing model 7 with 7600 nodes... Full sweep: 100.0%"
"Executing model 8 with 7600 nodes... Partial sweep: 6.0762352366710415%"
"Executing model 9 with 7600 nodes... Partial sweep: 9.533982360301522%"
 7600 15 12845.0 39.201025421918395
"Executing model 0 with 7700 nodes... Full sweep: 100.0%"
"Executing model 1 with 7700 nodes... Full sweep: 100.0%"
"Executing model 2 with 7700 nodes... Partial sweep: 6.179998168889432%"
"Executing model 3 with 7700 nodes... Partial sweep: 71.70323801385541%"
"Executing model 4 with 7700 nodes... Partial sweep: 24.500259407330546%"
"Executing model 5 with 7700 nodes... Partial sweep: 87.91161839655751%"
"Executing model 6 with 7700 nodes... Partial sweep: 59.84679708243049%"
"Executing model 7 with 7700 nodes... Partial sweep: 5.298013245033113%"
"Executing model 8 with 7700 nodes... Partial sweep: 5.743583483382672%"
"Executing model 9 with 7700 nodes... Partial sweep: 78.96359141819514%"
 7700 15 17699.0 54.01470992156743
"Executing model 0 with 7800 nodes... Partial sweep: 4.287850581377606%"
"Executing model 1 with 7800 nodes... Partial sweep: 9.845271156956695%"
"Executing model 2 with 7800 nodes... Partial sweep: 4.190191351054414%"
"Executing model 3 with 7800 nodes... Partial sweep: 29.12076174199652%"
"Executing model 4 with 7800 nodes... Partial sweep: 84.25550096133306%"
"Executing model 5 with 7800 nodes... Partial sweep: 73.34208197271646%"
"Executing model 6 with 7800 nodes... Partial sweep: 53.83159886471145%"
"Executing model 7 with 7800 nodes... Partial sweep: 88.60438856166265%"
"Executing model 8 with 7800 nodes... Full sweep: 100.0%"
"Executing model 9 with 7800 nodes... Full sweep: 100.0%"
 7800 15 17939.0 54.74715414899136
"Executing model 0 with 7900 nodes... Partial sweep: 56.91091647083957%"
"Executing model 1 with 7900 nodes... Partial sweep: 86.84041871395%"
"Executing model 2 with 7900 nodes... Full sweep: 100.0%"
"Executing model 3 with 7900 nodes... Partial sweep: 5.1728873561815245%"
"Executing model 4 with 7900 nodes... Partial sweep: 21.021149327066865%"
"Executing model 5 with 7900 nodes... Partial sweep: 48.8937040314951%"
"Executing model 6 with 7900 nodes... Full sweep: 100.0%"
"Executing model 7 with 7900 nodes... Partial sweep: 80.11719107638783%"
"Executing model 8 with 7900 nodes... Partial sweep: 4.290902432325206%"
"Executing model 9 with 7900 nodes... Partial sweep: 13.403729361857966%"
 7900 15 16929.0 51.66478469191564
"Executing model 0 with 8000 nodes... Partial sweep: 4.193243202002014%"
"Executing model 1 with 8000 nodes... Partial sweep: 8.960234382152777%"
"Executing model 2 with 8000 nodes... Partial sweep: 58.07672353282266%"
"Executing model 3 with 8000 nodes... Full sweep: 100.0%"
